"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.908052500E-1,-3.287164307E-1,9.828860779E0,1.153650970E0
8.008152500E-1,-5.650749207E-1,9.791887665E0,9.963281250E-1
8.108252500E-1,-6.098318481E-1,9.793234863E0,9.096583557E-1
8.208352500E-1,-6.286926270E-1,9.760602722E0,9.666897583E-1
8.308452500E-1,-6.786886597E-1,9.688303070E0,1.199156342E0
8.408552500E-1,-5.626799011E-1,9.728719025E0,1.293310547E0
8.508652500E-1,-4.487667847E-1,9.714947662E0,1.280736694E0
8.608752500E-1,-4.790039062E-1,9.729766846E0,1.480870514E0
8.708852500E-1,-5.388793945E-1,9.767937469E0,1.566642151E0
8.808942499E-1,-5.857319641E-1,9.794731750E0,1.274449768E0
8.909042500E-1,-7.999365234E-1,1.001312759E1,1.185983734E0
9.009142500E-1,-1.313368835E0,1.015248779E1,1.089284821E0
9.109242500E-1,-1.813478851E0,1.001597168E1,8.958869934E-1
9.209342500E-1,-2.022144928E0,1.003423370E1,6.899153137E-1
9.309442500E-1,-2.210303650E0,9.910590820E0,4.095483398E-1
9.409542500E-1,-2.175725555E0,9.824968872E0,3.107537842E-1
9.509642500E-1,-2.389481049E0,9.854756927E0,2.152523804E-1
9.609742500E-1,-2.842439117E0,9.579629059E0,1.474433899E-1
9.709842500E-1,-2.783910828E0,9.621990967E0,1.767823792E-1
9.809942500E-1,-2.661914520E0,9.662406921E0,2.993774414E-2
9.910042500E-1,-2.382595367E0,9.658814392E0,2.110610962E-2
1.001013750E0,-2.166444855E0,9.835447083E0,6.601272583E-2
1.011023750E0,-2.283950500E0,9.812844086E0,2.395019531E-1
1.021033750E0,-2.393223267E0,9.813442841E0,5.054988098E-1
1.031043750E0,-2.341430969E0,9.868677979E0,6.008505249E-1
1.041053750E0,-2.249671783E0,9.893226929E0,5.451663208E-1
1.051063750E0,-2.115101624E0,9.909393311E0,5.487588501E-1
1.061073750E0,-1.827998657E0,9.981243896E0,8.665480042E-1
1.071083750E0,-1.500180359E0,1.006222549E1,1.467099152E0
1.081093750E0,-1.025367737E0,1.016311569E1,2.027683411E0
1.091103750E0,-5.025050354E-1,1.027613068E1,2.461181946E0
1.101113750E0,-1.395098877E-1,1.039543259E1,2.470911713E0
1.111122750E0,-1.169068909E-1,1.045710434E1,2.257754974E0
1.121132750E0,-2.109114075E-1,1.058433975E1,1.963466949E0
1.131142750E0,-4.098477173E-1,1.061996567E1,1.644330597E0
1.141152750E0,-5.144801331E-1,1.072908875E1,1.388811951E0
1.151162750E0,-4.899311829E-1,1.079914307E1,1.267115021E0
1.161172750E0,-6.478527832E-1,1.078477295E1,1.283431091E0
1.171182750E0,-8.458909607E-1,1.088955505E1,1.713935852E0
1.181192750E0,-1.151255951E0,1.101813766E1,1.805844727E0
