"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.311952917E-1,1.758735329E-1,-6.125461459E-1,-3.742235601E-1
7.412052917E-1,2.779980302E-1,-6.216685176E-1,-4.879511893E-1
7.512152917E-1,3.998970687E-1,-5.858352184E-1,-5.544610023E-1
7.612252917E-1,4.866442382E-1,-5.125780702E-1,-5.708082914E-1
7.712352917E-1,4.929298162E-1,-4.818696976E-1,-4.994428158E-1
7.812452917E-1,4.173905849E-1,-5.495209098E-1,-3.654210865E-1
7.912542917E-1,2.536455691E-1,-7.503065467E-1,-1.942875087E-1
8.012642917E-1,9.468307719E-3,-1.034080267E0,-6.906162947E-3
8.112742917E-1,-2.394570708E-1,-1.285113096E0,1.057884842E-1
8.212842917E-1,-3.729149997E-1,-1.427891374E0,1.001979783E-1
8.312942917E-1,-3.680137098E-1,-1.402884126E0,3.141989559E-2
8.413042917E-1,-2.601847053E-1,-1.311860919E0,-1.247931421E-1
8.513142917E-1,-1.842532121E-2,-1.292545080E0,-2.945168316E-1
8.613242917E-1,2.361196131E-1,-1.181621790E0,-4.048055410E-1
8.713342917E-1,4.247361124E-1,-1.086144686E0,-4.721430242E-1
8.813442917E-1,4.887912571E-1,-1.033095002E0,-5.209904909E-1
8.913542917E-1,4.120653272E-1,-1.106285095E0,-5.442355275E-1
9.013642917E-1,2.369496971E-1,-1.281241775E0,-5.355656147E-1
9.113742917E-1,6.827969849E-2,-1.473583937E0,-4.779081643E-1
9.213842917E-1,-2.123127133E-2,-1.591645002E0,-4.018229842E-1
9.313942917E-1,-6.286391616E-2,-1.571267843E0,-3.225650191E-1
9.414042917E-1,-1.022294313E-1,-1.453417897E0,-2.621152699E-1
9.514132917E-1,-1.645735204E-1,-1.296608090E0,-2.638307214E-1
9.614232917E-1,-1.991695762E-1,-1.132010818E0,-3.061726093E-1
9.714332917E-1,-1.451327056E-1,-9.565766454E-1,-3.504680693E-1
9.814432917E-1,-4.184306785E-2,-8.005744815E-1,-3.769638538E-1
9.914532917E-1,1.316573769E-1,-8.174253702E-1,-3.967592716E-1
1.001463292E0,3.159262836E-1,-9.189975262E-1,-4.023689330E-1
1.011473292E0,4.728290737E-1,-9.611333013E-1,-2.892374694E-1
1.021483292E0,5.744824409E-1,-9.290840030E-1,-1.801634431E-1
1.031493292E0,6.053622961E-1,-8.674249649E-1,-1.254282743E-1
1.041503292E0,5.408392549E-1,-8.491868377E-1,-7.305295765E-2
1.051513292E0,4.334366322E-1,-8.102564216E-1,-2.579265460E-2
1.061523292E0,3.300766945E-1,-7.576510310E-1,1.457554102E-2
1.071533292E0,1.943489611E-1,-7.150924802E-1,3.682086617E-2
