"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.026040000E-1,2.554782303E1,-2.462484238E1,6.508166199E0
8.126140000E-1,7.438331909E0,-1.834794525E1,9.447154541E0
8.226240000E-1,-8.864416351E0,-7.532935181E0,1.014904495E1
8.326330000E-1,-2.316492828E1,4.821024628E0,7.093748474E0
8.426430000E-1,-3.540931595E1,1.766401749E1,4.785698090E0
8.526530000E-1,-3.935945160E1,2.906820236E1,4.174968109E0
8.626630000E-1,-3.853840897E1,3.483690628E1,5.971083069E0
8.726730000E-1,-3.693898499E1,3.535512863E1,9.830058289E0
8.826830000E-1,-3.239548325E1,3.243245636E1,1.037851776E1
8.926920000E-1,-2.678589844E1,2.548465439E1,8.008945312E0
9.027020000E-1,-2.001068756E1,1.430245789E1,5.905369720E0
9.127120000E-1,-9.283844147E0,1.548529816E0,3.551664276E0
9.227220000E-1,2.542163544E0,-1.405816589E1,1.913021851E0
9.327320000E-1,1.982746857E1,-2.832275253E1,1.387614441E0
9.427410000E-1,4.022929276E1,-3.389072388E1,3.631448364E0
9.527510000E-1,5.031816284E1,-3.445295471E1,7.829767914E0
9.627610000E-1,4.887216980E1,-3.371064835E1,8.042026520E0
9.727710000E-1,4.070440475E1,-3.309183517E1,2.969075775E0
9.827810000E-1,2.452260498E1,-3.232557861E1,7.905061340E-1
9.927900000E-1,6.463708649E0,-2.709994537E1,4.121828613E0
1.002800000E0,-3.371738434E0,-1.408196640E1,6.236032104E0
1.012810000E0,-1.459450058E1,-1.527573395E0,6.221661987E0
1.022820000E0,-3.129317551E1,1.016087036E1,8.712332611E0
1.032830000E0,-4.472654068E1,2.385349640E1,1.157093811E1
1.042840000E0,-5.084686340E1,3.459246460E1,1.048584457E1
1.052849000E0,-4.762496338E1,3.955883698E1,4.710704041E0
1.062859000E0,-3.968697052E1,3.867043442E1,-7.714956665E-1
1.072869000E0,-3.261881882E1,3.265339691E1,-1.658551025E0
